id,size,result_PN,time_PN,result_PS,time_PS
0,1001,1000,0.00041524569193522137,1000,0.00020166238149007162
1,1065,1064,0.00042438507080078125,1064,0.00020798047383626303
2,1134,1134,0.0004913806915283203,1134,0.00021998087565104166
3,1208,1208,0.0005275408426920573,1208,0.00024100144704182944
4,1286,1286,0.0005195935567220052,1286,0.0002582073211669922
5,1369,1369,0.0005576610565185547,1369,0.0003134012222290039
6,1458,1458,0.0006039142608642578,1458,0.0002857685089111328
7,1552,1552,0.0006175041198730469,1552,0.0003032088279724121
8,1653,1653,0.0006563663482666016,1653,0.0003237724304199219
9,1760,1760,0.0007045269012451172,1760,0.0003559589385986328
10,1874,1874,0.0010075569152832031,1874,0.00036722421646118164
11,1995,1995,0.0008065700531005859,1995,0.00040658315022786457
12,2124,2123,0.000864863395690918,2123,0.00044576327006022137
13,2262,2261,0.0009919404983520508,2261,0.000444332758585612
14,2409,2409,0.001082301139831543,2409,0.0004980564117431641
15,2565,2565,0.0010919570922851562,2565,0.0005154609680175781
16,2731,2730,0.001206040382385254,2730,0.0005423227945963541
17,2908,2908,0.0016219615936279297,2908,0.0006103515625
18,3096,3096,0.0013191699981689453,3096,0.0006206035614013672
19,3296,3296,0.001477956771850586,3296,0.0006638765335083008
20,3510,3510,0.001580953598022461,3510,0.0007065534591674805
21,3737,3737,0.0016248226165771484,3737,0.0007508993148803711
22,3979,3978,0.0018951892852783203,3978,0.0007964372634887695
23,4237,4237,0.0022771358489990234,4237,0.0008660554885864258
24,4512,4512,0.002046823501586914,4512,0.0009219646453857422
25,4804,4803,0.002190113067626953,4803,0.0009614229202270508
26,5115,5115,0.0023641586303710938,5115,0.0010215044021606445
27,5447,5447,0.0026378631591796875,5447,0.0010889768600463867
28,5799,5799,0.0027441978454589844,5799,0.0011605024337768555
29,6175,6175,0.003200054168701172,6175,0.0012371540069580078
30,6575,6575,0.0031881332397460938,6575,0.0013129711151123047
31,7001,7001,0.003376007080078125,7001,0.001397848129272461
32,7455,7455,0.003676891326904297,7455,0.0015130043029785156
33,7938,7937,0.004142284393310547,7937,0.0016379356384277344
34,8452,8452,0.004380941390991211,8452,0.0017087459564208984
35,8999,8999,0.004876136779785156,8999,0.0018031597137451172
36,9582,9582,0.005188941955566406,9582,0.0019199848175048828
37,10203,10203,0.006067991256713867,10203,0.0020990371704101562
38,10864,10864,0.006211042404174805,10864,0.002177000045776367
39,11568,11567,0.006865262985229492,11567,0.0023207664489746094
40,12317,12316,0.007675886154174805,12316,0.0024619102478027344
41,13115,13114,0.008159875869750977,13114,0.0026521682739257812
