id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
0,1000,4.724025726318359e-06,1.8745958496155866e-06,9.339094161987305e-06,3.1089527984793405e-06,5.709171295166016e-06,1.5765091566104325e-06
1,1047,4.929366744805657e-06,1.8745958496155866e-06,1.0652323506964653e-05,3.1089527984793405e-06,5.781252040334736e-06,1.5765091566104325e-06
2,1097,4.832268630578068e-06,1.8745958496155866e-06,3.3645925460996253e-06,3.1089527984793405e-06,6.3592776887071275e-06,1.5765091566104325e-06
3,1149,5.1045231034799285e-06,1.8745958496155866e-06,1.0535237683328573e-05,3.1089527984793405e-06,6.94879145078601e-06,1.5765091566104325e-06
4,1204,4.930947706152831e-06,1.8745958496155866e-06,1.0583685878107319e-05,3.1089527984793405e-06,5.865413881219502e-06,1.5765091566104325e-06
5,1261,4.93097267483644e-06,1.8745958496155866e-06,9.348239339031368e-06,3.1089527984793405e-06,6.003950816312543e-06,1.5765091566104325e-06
6,1321,4.986395536274011e-06,1.8745958496155866e-06,9.06748630890424e-06,3.1089527984793405e-06,6.396692869430415e-06,1.5765091566104325e-06
7,1384,4.812127592935728e-06,1.8745958496155866e-06,9.377223218796571e-06,3.1089527984793405e-06,5.971834149663848e-06,1.5765091566104325e-06
8,1450,4.8157264446390085e-06,1.8745958496155866e-06,1.1034505120639143e-05,3.1089527984793405e-06,6.060764707367996e-06,1.5765091566104325e-06
9,1519,5.519413649839661e-06,1.8745958496155866e-06,9.696525990609827e-06,3.1089527984793405e-06,6.784020951894492e-06,1.5765091566104325e-06
10,1592,5.301967937143604e-06,1.8745958496155866e-06,1.0325980545887396e-05,3.1089527984793405e-06,6.398214167685964e-06,1.5765091566104325e-06
11,1668,4.972485329607408e-06,1.8745958496155866e-06,1.1318879161807273e-05,3.1089527984793405e-06,6.299796436044524e-06,1.5765091566104325e-06
12,1747,5.7755433701076846e-06,1.8745958496155866e-06,1.2626768045583723e-05,3.1089527984793405e-06,7.541915247217887e-06,1.5765091566104325e-06
13,1830,5.200130691945227e-06,1.8745958496155866e-06,1.0897162182083546e-05,3.1089527984793405e-06,6.35900132643069e-06,1.5765091566104325e-06
14,1917,5.074074694932471e-06,1.8745958496155866e-06,1.2286951844121368e-05,3.1089527984793405e-06,6.68019755905223e-06,1.5765091566104325e-06
15,2009,5.167713801382548e-06,1.8745958496155866e-06,1.029436596594621e-05,3.1089527984793405e-06,6.418076245092883e-06,1.5765091566104325e-06
16,2104,5.525667857761166e-06,1.8745958496155866e-06,1.0769970063474242e-05,3.1089527984793405e-06,6.604217304476314e-06,1.5765091566104325e-06
17,2205,5.201417572644292e-06,1.8745958496155866e-06,1.0552806378492152e-05,3.1089527984793405e-06,6.685667838098781e-06,1.5765091566104325e-06
18,2310,5.36968181659649e-06,1.8745958496155866e-06,1.1471339634486607e-05,3.1089527984793405e-06,6.937671017337155e-06,1.5765091566104325e-06
19,2420,5.636727514345784e-06,1.8745958496155866e-06,1.2040433804850933e-05,3.1089527984793405e-06,6.431883031671697e-06,1.5765091566104325e-06
20,2535,5.754587448090021e-06,1.8745958496155866e-06,1.1144069995165341e-05,3.1089527984793405e-06,1.1791233010075737e-05,1.5765091566104325e-06
21,2656,5.513519407754921e-06,1.8745958496155866e-06,1.1981969856354128e-05,3.1089527984793405e-06,6.457858056907194e-06,1.5765091566104325e-06
22,2782,5.473343268476057e-06,1.8745958496155866e-06,1.2174773610469508e-05,3.1089527984793405e-06,6.668864180937163e-06,1.5765091566104325e-06
23,2915,5.493278568850169e-06,1.8745958496155866e-06,1.1781885529873097e-05,3.1089527984793405e-06,6.6246013085183725e-06,1.5765091566104325e-06
24,3053,5.52439197648989e-06,1.8745958496155866e-06,7.484453528035948e-06,3.1089527984793405e-06,6.451124134432321e-06,1.5765091566104325e-06
25,3199,5.97619011686086e-06,1.8745958496155866e-06,1.1060863183639541e-05,3.1089527984793405e-06,6.734896317315348e-06,1.5765091566104325e-06
26,3351,8.2118871922779e-06,1.8745958496155866e-06,1.0807241691969573e-05,3.1089527984793405e-06,6.893149990353859e-06,1.5765091566104325e-06
27,3511,5.712267409291779e-06,1.8745958496155866e-06,1.1586083608011818e-05,3.1089527984793405e-06,7.982370826940665e-06,1.5765091566104325e-06
