id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
0,1000,1.671290397644043e-05,3.667042339407818e-06,7.788896560668945e-06,3.256720685781374e-06,5.036115646362305e-06,2.039106868825615e-06
1,1047,4.001879760392416e-06,3.667042339407818e-06,9.508278672765752e-06,3.256720685781374e-06,6.1182716172882345e-06,2.039106868825615e-06
2,1097,1.6135743453270105e-05,3.667042339407818e-06,8.362689231239673e-06,3.256720685781374e-06,6.347324159217076e-06,2.039106868825615e-06
3,1149,4.539498046131317e-06,3.667042339407818e-06,9.366384893007336e-06,3.256720685781374e-06,6.585872308184937e-06,2.039106868825615e-06
4,1204,4.080640913244101e-06,3.667042339407818e-06,6.360469070383876e-06,3.256720685781374e-06,5.862245528008851e-06,2.039106868825615e-06
5,1261,3.87784699236562e-06,3.667042339407818e-06,1.0393234966861928e-05,3.256720685781374e-06,5.012084150200888e-06,2.039106868825615e-06
6,1321,4.322216602819242e-06,3.667042339407818e-06,8.527660442066409e-06,3.256720685781374e-06,5.247555024510166e-06,2.039106868825615e-06
7,1384,4.2054005440949014e-06,3.667042339407818e-06,1.0228398218320284e-05,3.256720685781374e-06,5.082243439779116e-06,2.039106868825615e-06
8,1450,3.931111302869074e-06,3.667042339407818e-06,1.0129665506297144e-05,3.256720685781374e-06,5.554495186641299e-06,2.039106868825615e-06
9,1519,5.4864525559546526e-06,3.667042339407818e-06,1.0836038093491555e-05,3.256720685781374e-06,5.299359108759746e-06,2.039106868825615e-06
10,1592,4.300220527840619e-06,3.667042339407818e-06,1.0420928648368797e-05,3.256720685781374e-06,5.510584193857471e-06,2.039106868825615e-06
11,1668,4.498078096970665e-06,3.667042339407818e-06,9.79202828533072e-06,3.256720685781374e-06,5.323109295156648e-06,2.039106868825615e-06
12,1747,4.40125883000881e-06,3.667042339407818e-06,1.0089186442942366e-05,3.256720685781374e-06,5.921160212638519e-06,2.039106868825615e-06
13,1830,4.496209608401106e-06,3.667042339407818e-06,8.889625632697767e-06,3.256720685781374e-06,6.561722260355298e-06,2.039106868825615e-06
14,1917,4.422123629908793e-06,3.667042339407818e-06,1.0087580872378004e-05,3.256720685781374e-06,5.413109148052377e-06,2.039106868825615e-06
15,2009,4.367842610170736e-06,3.667042339407818e-06,1.1276878368326418e-05,3.256720685781374e-06,5.7107717495999445e-06,2.039106868825615e-06
16,2104,4.184903300760364e-06,3.667042339407818e-06,1.123626875786727e-05,3.256720685781374e-06,5.48906652646373e-06,2.039106868825615e-06
17,2205,4.770101603466908e-06,3.667042339407818e-06,1.0554644526267538e-05,3.256720685781374e-06,5.770594624975642e-06,2.039106868825615e-06
18,2310,4.506936837068368e-06,3.667042339407818e-06,1.1119801244694433e-05,3.256720685781374e-06,5.582710365196327e-06,2.039106868825615e-06
