id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
0,1000,4.1715145111083986e-05,0.001161051537367907,2.1407604217529295e-06,6.132902150178767e-08,4.308938980102539e-06,1.7341771924243588e-06
1,1047,4.364449064733875e-05,0.001161051537367907,2.0344141219611836e-06,6.132902150178767e-08,4.49010271511424e-06,1.7341771924243588e-06
2,1097,4.9972490712307535e-05,0.001161051537367907,2.208577575961785e-06,6.132902150178767e-08,5.417556901790929e-06,1.7341771924243588e-06
3,1149,4.9537944212698544e-05,0.001161051537367907,2.078329406685161e-06,6.132902150178767e-08,4.929599811763116e-06,1.7341771924243588e-06
4,1204,5.095108006879737e-05,0.001161051537367907,1.9758642709928494e-06,6.132902150178767e-08,4.4020307420496136e-06,1.7341771924243588e-06
5,1261,5.358348849460684e-05,0.001161051537367907,1.9672841519046456e-06,6.132902150178767e-08,4.920573767738433e-06,1.7341771924243588e-06
6,1321,5.585077041753037e-05,0.001161051537367907,1.964561872460642e-06,6.132902150178767e-08,4.945245319744748e-06,1.7341771924243588e-06
7,1384,5.9992074966430664e-05,0.001161051537367907,2.0050244524299756e-06,6.132902150178767e-08,4.494982647757999e-06,1.7341771924243588e-06
8,1450,0.00012864129296664533,0.001161051537367907,1.9579920275457972e-06,6.132902150178767e-08,4.693886329387796e-06,1.7341771924243588e-06
9,1519,6.486445057148836e-05,0.001161051537367907,1.92885182263272e-06,6.132902150178767e-08,4.934118796995865e-06,1.7341771924243588e-06
10,1592,6.870917938462454e-05,0.001161051537367907,1.914537132684909e-06,6.132902150178767e-08,4.537740544458131e-06,1.7341771924243588e-06
11,1668,7.155401815327523e-05,0.001161051537367907,1.9305043940921483e-06,6.132902150178767e-08,4.902446298576374e-06,1.7341771924243588e-06
12,1747,7.561512790411353e-05,0.001161051537367907,1.9260454532686614e-06,6.132902150178767e-08,4.732069726255053e-06,1.7341771924243588e-06
13,1830,8.101033382728451e-05,0.001161051537367907,1.915295918782552e-06,6.132902150178767e-08,4.5355551881216914e-06,1.7341771924243588e-06
14,1917,8.142560362878042e-05,0.001161051537367907,1.935456404787958e-06,6.132902150178767e-08,5.132902023005001e-06,1.7341771924243588e-06
15,2009,8.792222109880538e-05,0.001161051537367907,1.9179107301445255e-06,6.132902150178767e-08,4.652544537131736e-06,1.7341771924243588e-06
16,2104,8.979224433463789e-05,0.001161051537367907,1.9628738722420464e-06,6.132902150178767e-08,4.971095364356676e-06,1.7341771924243588e-06
17,2205,9.635235446921281e-05,0.001161051537367907,1.9920115568199937e-06,6.132902150178767e-08,4.68035674149217e-06,1.7341771924243588e-06
18,2310,0.0001008996715793362,0.001161051537367907,2.0265579223632812e-06,6.132902150178767e-08,4.9842900528020155e-06,1.7341771924243588e-06
19,2420,0.00010309583884625395,0.001161051537367907,2.228622594155556e-06,6.132902150178767e-08,4.690146643268175e-06,1.7341771924243588e-06
