id,size,result_PN,time_PN,result_PS,time_PS
0,1000,998,0.00041031837463378906,998,0.00021219253540039062
1,1064,1062,0.00042502085367838543,1062,0.00021719932556152344
2,1133,1133,0.00045561790466308594,1133,0.0002447366714477539
3,1207,1201,0.0004864931106567383,1201,0.00025326013565063477
4,1285,1285,0.00052642822265625,1285,0.00027054548263549805
5,1368,1367,0.0005449056625366211,1367,0.0002910494804382324
6,1457,1456,0.0005835294723510742,1456,0.0003040432929992676
7,1551,1549,0.0006219148635864258,1549,0.0003266334533691406
8,1652,1652,0.0006701946258544922,1652,0.0003513495127360026
9,1759,1758,0.0007244348526000977,1758,0.00036899248758951825
10,1873,1873,0.000774383544921875,1873,0.0003960132598876953
11,1994,1994,0.0008527040481567383,1994,0.00042136510213216144
12,2123,2123,0.0008895397186279297,2123,0.0004382928212483724
13,2261,2261,0.0009469985961914062,2261,0.0004864931106567383
14,2408,2407,0.0010089874267578125,2407,0.0005395412445068359
15,2564,2564,0.0010809898376464844,2564,0.0005459785461425781
16,2730,2730,0.001161813735961914,2730,0.0005830526351928711
17,2907,2907,0.0013289451599121094,2907,0.00061798095703125
18,3095,2219,0.001216888427734375,2219,0.0006554126739501953
19,3295,3293,0.0014340877532958984,3293,0.0007014274597167969
20,3509,3508,0.001535177230834961,3508,0.0007345676422119141
21,3736,3735,0.0016481876373291016,3735,0.0008051395416259766
22,3978,3974,0.0017769336700439453,3974,0.0008645057678222656
23,4236,4236,0.0019161701202392578,4236,0.0008854866027832031
24,4511,4510,0.0021369457244873047,4510,0.0009627342224121094
25,4803,4803,0.0022001266479492188,4803,0.0010690689086914062
26,5114,5027,0.0023789405822753906,5027,0.001081228256225586
27,5446,5445,0.0025298595428466797,5445,0.0012519359588623047
28,5798,5798,0.0027260780334472656,5798,0.0012269020080566406
29,6174,6174,0.0029687881469726562,6174,0.0013360977172851562
30,6574,6574,0.0031790733337402344,6574,0.0014090538024902344
31,7000,6998,0.003443002700805664,6998,0.0014882087707519531
32,7454,7452,0.003887176513671875,7452,0.0016078948974609375
33,7937,7936,0.004186868667602539,7936,0.0016520023345947266
34,8451,8451,0.004415035247802734,8451,0.0018110275268554688
35,8998,8998,0.004867076873779297,8998,0.0018970966339111328
36,9581,9576,0.005266904830932617,9576,0.0020020008087158203
37,10202,10201,0.005756855010986328,10201,0.002173900604248047
38,10863,10861,0.006207942962646484,10861,0.0023009777069091797
39,11567,11566,0.0067901611328125,11566,0.002471923828125
40,12316,12316,0.0075948238372802734,12316,0.002627134323120117
41,13114,13114,0.00829315185546875,13114,0.002794981002807617
42,13964,13964,0.008727788925170898,13964,0.002980947494506836
43,14868,12439,0.009257078170776367,12439,0.0034492015838623047
44,15832,15832,0.010795831680297852,15832,0.0034596920013427734
45,16857,16856,0.012096881866455078,16856,0.003634929656982422
46,17950,17950,0.013107776641845703,17950,0.0037691593170166016
47,19113,19113,0.014831781387329102,19113,0.004216194152832031
48,20351,20351,0.016558170318603516,20351,0.0047070980072021484
49,21669,21668,0.017944812774658203,21668,0.004569053649902344
50,23073,23072,0.0202789306640625,23072,0.004758119583129883
51,24568,24568,0.022183895111083984,24568,0.006007194519042969
52,26160,26160,0.024126052856445312,26160,0.005667209625244141
53,27854,27852,0.027313947677612305,27852,0.005807161331176758
54,29659,23313,0.026936054229736328,23313,0.006479978561401367
55,31581,31581,0.03306698799133301,31581,0.006598234176635742
56,33627,33626,0.036814212799072266,33626,0.007084846496582031
57,35805,35805,0.04093813896179199,35805,0.007585048675537109
58,38125,38123,0.04596590995788574,38123,0.00820779800415039
59,40595,40594,0.051061153411865234,40594,0.008675098419189453
60,43225,43224,0.0570681095123291,43224,0.010204792022705078
61,46025,46023,0.06416797637939453,46023,0.010000944137573242
62,49007,49005,0.07004594802856445,49005,0.010681867599487305
63,52182,52182,0.07880020141601562,52182,0.011036872863769531
64,55563,49839,0.08480095863342285,49839,0.01255488395690918
65,59163,50279,0.09253120422363281,50279,0.012634992599487305
66,62996,62996,0.10949087142944336,62996,0.01370692253112793
67,67077,67077,0.12169170379638672,67077,0.014768123626708984
68,71422,71422,0.13571715354919434,71422,0.0157468318939209
69,76050,76045,0.15280580520629883,76045,0.016746997833251953
70,80977,80975,0.1732780933380127,80975,0.01782989501953125
71,86223,75473,0.18555283546447754,75473,0.01981377601623535
72,91809,91808,0.21506619453430176,91808,0.019741058349609375
73,97757,97756,0.2433159351348877,97756,0.02094292640686035
74,104090,104090,0.27506303787231445,104090,0.022372722625732422
75,110834,110834,0.312136173248291,110834,0.023892879486083984
76,118014,118014,0.35582494735717773,118014,0.025506973266601562
77,125660,125659,0.39882397651672363,125659,0.026742219924926758
78,133801,133798,0.4477880001068115,133798,0.029138803482055664
79,142470,142470,0.5157020092010498,142470,0.03083515167236328
80,151700,135488,0.5767841339111328,135488,0.0331571102142334
81,161528,161528,0.6627540588378906,161528,0.03503584861755371
82,171992,171991,0.7668778896331787,171991,0.03694295883178711
83,183135,183079,0.8766698837280273,183079,0.04235076904296875
84,195000,195000,1.005986213684082,195000,0.04168891906738281
85,207633,148323,1.063652753829956,148323,0.045022010803222656
86,221085,221085,1.3771851062774658,221085,0.0483851432800293
87,235408,226534,1.553194284439087,226534,0.05424213409423828
88,250659,250659,1.7873332500457764,250659,0.05314493179321289
89,266898,253931,2.040131092071533,253931,0.06018424034118652
90,284190,284189,2.353060245513916,284189,0.06073904037475586
91,302601,302600,2.6943817138671875,302600,0.06656002998352051
92,322206,322203,3.081768035888672,322203,0.06918191909790039
93,343080,343080,3.5324480533599854,343080,0.07411885261535645
94,365307,243673,3.604419708251953,243673,0.07996082305908203
95,388974,291507,4.345746994018555,291507,0.08302092552185059
96,414174,414174,5.197807788848877,414174,0.08841919898986816
97,441006,441006,5.890327215194702,441006,0.09504485130310059
98,469577,469575,6.660942077636719,469575,0.0984346866607666
99,500000,500000,7.627035856246948,500000,0.10651111602783203
